id,sq1,sq2,sq3,sq4,sq5,sq6,sq7,sq8,sq9,sq10,sq11,sq12,sq13,sq14,sq15,sq16,sq17
587,2,4,3,4,4,0,8,7,8,2,2,2,2,1,5,1,2
593,3,2,5,1,4,6,7,7,3,8,2,1,1,1,2,3,2
589,4,2,2,4,3,8,0,1,7,3,2,3,2,2,4,2,2
591,3,3,3,3,6,8,4,6,9,7,2,2,2,1,1,2,2
594,4,1,2,4,1,3,3,6,4,7,2,2,1,1,2,2,2
596,4,1,2,4,2,9,2,4,8,2,2,2,2,1,2,2,2
595,1,1,4,2,10,10,7,10,9,10,2,2,2,1,1,1,4
590,1,1,2,4,8,7,9,8,5,9,2,3,2,1,5,2,2
592,4,2,2,3,7,7,3,3,7,9,1,2,1,1,1,2,2
611,2,1,2,4,4,7,7,8,8,8,1,3,2,2,2,1,2
612,2,1,4,3,3,6,7,9,8,9,2,2,1,1,2,3,1
606,4,1,3,2,7,6,7,8,6,7,2,2,2,2,2,1,3
609,4,1,1,5,6,8,4,7,8,8,2,2,2,2,3,1,1
607,2,1,4,2,6,5,4,5,6,6,2,1,2,2,3,3,4
608,3,1,4,2,7,7,5,5,6,6,2,2,2,1,4,2,2
605,2,1,4,1,4,10,10,7,10,8,2,1,2,1,2,2,2
610,3,2,4,2,6,4,6,5,7,8,1,3,1,1,2,3,2
603,4,2,3,3,4,6,6,6,7,5,2,3,3,3,2,2,2
599,2,2,5,1,8,6,6,5,7,6,2,2,3,2,2,3,2
600,4,2,4,1,2,8,6,6,7,1,2,2,2,2,2,2,4
598,3,2,2,2,2,8,0,2,10,6,2,1,3,2,3,2,4
604,3,2,4,4,5,7,4,3,5,4,2,3,2,1,5,2,2
601,3,1,4,2,9,10,5,6,8,8,1,1,2,1,4,4,2
597,2,2,4,2,8,7,7,7,9,3,2,2,2,1,4,4,2
602,2,2,4,4,7,6,3,4,5,10,2,4,2,2,2,2,3
616,2,1,4,3,3,7,6,6,8,9,2,3,2,1,2,1,4
620,3,2,2,4,2,8,4,4,7,7,1,2,2,1,2,3,4
614,2,3,3,4,7,8,2,2,4,7,1,2,1,1,4,2,2
617,2,1,3,2,4,7,4,5,9,9,2,2,2,1,4,1,2
613,2,2,2,4,5,8,7,6,7,8,2,4,2,1,2,2,4
619,2,2,2,4,6,7,2,5,10,2,2,2,1,1,2,2,2
618,2,1,3,2,8,8,3,4,5,7,1,2,3,1,3,2,2
615,3,2,2,4,4,7,7,6,6,9,1,2,2,2,2,2,2
626,2,1,3,3,4,7,4,7,7,8,2,2,2,1,2,2,2
625,4,2,4,2,5,6,3,5,5,9,1,2,1,1,4,2,3
621,2,1,3,4,4,7,4,7,7,10,2,2,3,1,5,3,3
622,2,3,5,1,7,7,4,5,7,4,1,3,1,1,2,3,1
623,3,1,4,4,5,5,6,6,5,7,1,2,1,1,4,2,2
624,2,3,4,2,7,9,7,10,7,8,1,3,3,2,2,2,2
628,4,1,1,4,3,6,6,4,0,10,2,2,1,1,2,2,2
627,3,1,4,3,3,4,2,3,5,8,2,3,3,1,2,2,2
635,2,2,3,4,3,7,3,5,3,9,1,1,2,1,2,1,2
629,2,2,2,4,5,7,4,3,9,7,2,2,2,1,2,2,2
631,4,3,4,5,6,7,4,6,5,2,1,1,1,1,3,1,1
634,2,2,4,3,8,8,6,8,7,9,2,2,2,1,2,1,2
632,2,2,2,4,2,7,3,7,8,7,2,3,2,1,3,4,2
633,3,1,2,4,3,8,6,8,9,8,2,2,2,1,2,2,2
636,2,1,2,2,8,9,7,8,9,10,1,3,3,3,3,2,1
630,2,1,2,1,7,9,6,10,8,9,2,2,1,1,2,2,1
639,1,2,3,2,7,8,3,6,6,7,1,1,1,1,3,2,1
638,2,1,4,3,3,9,4,4,8,6,1,4,2,1,3,2,2
640,2,1,2,4,7,8,4,8,7,10,1,3,3,2,1,1,2
642,3,3,2,4,4,2,1,2,3,8,2,2,2,1,4,3,4
637,1,1,3,4,4,10,8,6,8,10,2,2,2,1,2,4,2
643,3,1,4,3,6,8,5,5,5,2,2,1,1,1,5,3,4
641,1,1,4,3,7,7,7,8,8,8,1,5,3,2,3,1,1
644,3,2,2,4,4,7,6,6,8,7,2,2,3,2,1,2,2
1003,2,2,5,4,10,0,5,1,9,7,2,4,3,5,4,3,3
1002,3,5,4,4,7,7,6,6,6,6,3,3,3,3,3,3,3
1004,3,5,4,4,7,7,7,6,6,6,3,3,3,2,2,2,4
1007,2,5,4,5,6,6,1,9,10,0,2,5,4,1,2,2,1
1005,4,5,4,3,6,6,6,6,6,6,3,3,3,3,3,3,3
1006,3,4,1,4,7,3,10,0,1,2,3,1,3,5,5,3,2
1001,3,5,5,5,7,7,7,7,7,7,3,3,3,3,3,3,3
1008,5,5,5,5,7,6,6,6,6,5,3,3,4,5,4,5,5
649,2,2,5,2,6,9,2,4,8,10,2,2,1,1,4,2,3
646,4,1,4,4,2,7,6,6,7,4,2,1,3,1,3,1,2
647,3,1,4,3,3,7,5,4,7,4,2,2,2,2,2,2,2
648,4,1,2,5,0,10,2,10,7,6,1,2,1,2,4,1,3
645,4,1,2,4,5,7,8,7,9,10,2,3,1,1,3,1,4
650,2,2,4,2,4,5,6,7,8,7,2,2,4,2,3,2,1
651,3,2,3,4,8,9,4,6,8,7,2,2,4,1,1,2,2
652,1,2,5,3,3,3,7,6,5,4,2,2,2,1,2,2,2
659,2,1,2,4,0,5,2,4,7,5,1,4,2,1,2,2,3
654,4,1,2,4,5,7,6,7,8,4,2,1,2,2,3,1,1
655,4,2,4,2,3,7,8,6,5,1,1,1,3,3,2,1,1
653,2,4,5,1,4,6,6,6,4,9,2,3,2,2,2,2,2
658,3,1,5,1,3,7,5,5,6,9,2,1,2,2,3,2,4
660,3,2,3,3,6,7,6,6,3,3,1,3,3,1,3,2,3
657,3,2,4,2,8,6,2,2,8,9,2,1,2,1,2,2,3
656,3,1,4,2,5,4,4,5,6,10,1,1,2,2,3,2,4
667,2,2,4,2,4,6,3,4,10,6,2,3,3,2,2,1,4
665,3,1,4,4,5,7,5,5,8,8,2,3,3,1,3,2,3
664,3,2,4,3,8,9,6,6,4,6,1,2,2,1,3,2,1
661,3,1,4,5,7,7,7,6,5,8,2,2,4,4,2,1,1
668,3,2,3,3,7,8,7,7,3,2,1,2,2,1,3,3,2
666,1,2,5,1,5,8,3,5,7,5,2,2,3,1,3,2,2
663,4,2,1,5,8,4,8,7,6,9,1,5,5,1,4,3,2
662,3,2,5,4,4,8,10,9,3,5,1,4,2,1,3,2,1
673,3,1,4,4,3,7,3,6,8,7,2,1,3,3,3,1,4
672,2,2,3,2,7,8,6,7,7,9,1,1,2,1,2,2,2
676,2,1,3,4,3,10,5,5,10,1,1,1,5,4,1,1,1
669,2,1,4,2,4,6,6,7,7,7,2,2,2,1,4,1,2
675,3,1,4,2,5,8,9,6,5,5,2,2,2,1,2,4,2
671,2,3,3,4,5,7,4,2,8,4,2,3,1,1,2,2,2
670,4,1,5,2,9,7,8,0,8,10,1,4,4,1,2,3,4
674,3,1,3,4,2,5,4,7,7,5,2,3,3,1,1,1,2
677,4,1,3,3,10,9,4,8,10,7,1,3,2,2,2,1,3
678,2,2,5,2,2,7,3,6,8,8,2,2,3,3,3,2,2
683,2,1,2,5,7,9,0,7,8,7,1,5,2,1,4,4,2
680,2,1,3,4,2,10,8,8,9,10,2,1,1,1,3,3,1
682,2,1,4,2,4,8,7,5,6,1,2,2,1,1,2,1,1
679,4,1,5,2,3,6,4,6,5,2,2,1,2,1,4,1,2
684,3,1,2,5,2,5,3,3,2,9,2,2,2,1,2,1,2
681,3,1,3,3,2,7,7,5,4,6,1,1,3,2,1,2,2
690,3,3,2,4,4,9,3,9,8,3,2,1,1,1,3,1,4
685,3,2,4,2,3,4,6,3,5,3,2,2,1,3,2,3,2
687,3,2,2,2,5,6,3,4,5,4,1,1,2,1,4,2,2
689,2,2,4,1,4,7,4,7,7,7,2,2,2,2,3,2,2
692,2,2,3,2,7,10,6,9,10,8,1,2,2,1,5,4,2
686,4,2,4,4,4,4,8,6,10,7,2,3,1,1,2,1,2
691,3,2,2,3,5,7,2,3,7,7,1,1,2,1,2,1,2
688,1,1,2,2,6,5,5,5,6,4,2,3,1,1,5,2,2
